ID	stn	co	start_dt	duration	number	acc_code
2361	036	005	2002-09-20 14:39:59	00:00:40	92480021	
2362	026	005	2002-09-20 14:40:53	00:00:21	INCOMING	
2363	029	005	2002-09-20 14:41:16	00:00:41	TRANSFER	
2364	026	003	2002-09-20 14:42:31	00:00:05	INCOMING	
2365	036	005	2002-09-20 14:41:59	00:01:10	TRANSFER	
2366	026	003	2002-09-20 14:43:03	00:00:11	INCOMING	
2367	026	002	2002-09-20 14:43:22	00:00:19	5725242	
2368	026	002	2002-09-20 14:43:52	00:00:16	5725242	
2369	026	005	2002-09-20 14:44:19	00:00:16	5725242	
2370	030	006	2002-09-20 14:42:12	00:03:59	5049091	
2371	035	003	2002-09-20 14:43:15	00:04:04	TRANSFER	
2372	031	006	2002-09-20 14:48:26	00:01:01	INCOMING	
2373	033	005	2002-09-20 14:49:36	00:00:43	INCOMING	
2374	033	005	2002-09-20 14:50:21	00:00:02	TRANSFER	
2375	026	008	2002-09-20 14:57:34	00:00:43	INCOMING	
2376	029	006	2002-09-20 14:54:11	00:04:34	3345601	
2377	024	005	2002-09-20 14:58:53	00:00:25	2313278	
2378	024	005	2002-09-20 14:59:33	00:00:08	INCOMING	
2379	026	008	2002-09-20 14:58:56	00:00:56	INCOMING	
2380	026	008	2002-09-20 15:00:35	00:00:11	INCOMING	
2381	026	006	2002-09-20 15:00:49	00:00:16	INCOMING	
2382	031	006	2002-09-20 15:01:07	00:00:35	TRANSFER	
2383	035	008	2002-09-20 15:00:48	00:01:04	TRANSFER	
2384	024	006	2002-09-20 15:04:56	00:00:22	INCOMING	
2385	030	006	2002-09-20 15:05:20	00:00:32	TRANSFER	
2386	035	006	2002-09-20 15:08:56	00:00:46	4733448	
2387	031	007	2002-09-20 15:09:45	00:00:10	INCOMING	
2388	035	006	2002-09-20 15:12:36	00:00:02	4	
2389	035	006	2002-09-20 15:12:55	00:00:12	4	
2390	035	006	2002-09-20 15:13:53	00:00:19	7297051	
2391	035	006	2002-09-20 15:14:28	00:00:03	4	
2392	026	004	2002-09-20 15:15:27	00:00:08	INCOMING	
2393	035	006	2002-09-20 15:14:47	00:01:22	7297051	
2394	026	003	2002-09-20 15:21:54	00:00:29	INCOMING	
2395	026	008	2002-09-20 15:23:14	00:00:05	INCOMING	
2396	029	003	2002-09-20 15:22:25	00:02:11	TRANSFER	
